player,opponent,tournament,year,round,total_points_played,aces,double_faults,first_srv_pct_in,win_pct_first_srv,win_pct_second_srv,net_points_won,break_points_won,rec_pts_won,winners,unforced_errors,total_points_won,fastest_serve,avg_1st_serve,avg_2nd_serve,short_rallies_pts_won,medium_rallies_pts_won,long_rallies_pts_won,medium_rallies_pts_played,short_rallies_pts_played,long_rallies_pts_played
B.Krejcikova,A.Pavlyuchenkova,french_open,2021,7,160,2,5,58/80 (73%),32/58 (55%),12/22 (55%),11/15 (73%),6/14 (43%),41/80 (51%),34,31,85,109 mph,96 mph,85 mph,52,25,8,98,45,17
A.Pavlyuchenkova,B.Krejcikova,french_open,2021,7,160,2,1,53/80 (66%),26/53 (49%),13/27 (48%),2/6 (33%),5/12 (42%),36/80 (45%),23,16,75,107 mph,101 mph,81 mph,46,20,9,98,45,17
B.Krejcikova,M.Sakkari,french_open,2021,6,244,5,5,65/114 (57%),40/65 (62%),28/49 (57%),13/17 (76%),7/15 (47%),58/130 (45%),31,58,126,109 mph,93 mph,80 mph,67,37,22,131,70,43
M.Sakkari,B.Krejcikova,french_open,2021,6,244,2,3,80/130 (62%),49/80 (61%),23/50 (46%),5/8 (63%),6/11 (55%),46/114 (40%),27,53,118,118 mph,101 mph,85 mph,64,33,21,131,70,43
A.Pavlyuchenkova,T.Zidansek,french_open,2021,6,139,3,3,50/76 (66%),29/50 (58%),14/26 (54%),4/10 (40%),6/10 (60%),32/63 (51%),19,22,75,107 mph,99 mph,81 mph,44,22,9,79,43,17
T.Zidansek,A.Pavlyuchenkova,french_open,2021,6,139,1,3,47/63 (75%),25/47 (53%),6/16 (38%),10/11 (91%),4/11 (36%),33/76 (43%),27,33,64,102 mph,90 mph,77 mph,35,21,8,79,43,17
C.Gauff,B.Krejcikova,french_open,2021,5,163,4,7,50/75 (67%),27/50 (54%),10/25 (40%),4/6 (67%),3/10 (30%),36/88 (41%),25,41,73,118 mph,104 mph,91 mph,38,20,15,98,41,24
B.Krejcikova,C.Gauff,french_open,2021,5,163,5,8,52/88 (59%),36/52 (69%),16/36 (44%),7/14 (50%),4/6 (67%),38/75 (51%),27,28,90,108 mph,98 mph,81 mph,60,21,9,98,41,24
M.Sakkari,I.Swiatek,french_open,2021,5,123,5,2,35/62 (56%),29/35 (83%),14/27 (52%),6/8 (75%),3/8 (38%),26/61 (43%),26,24,69,113 mph,103 mph,90 mph,46,16,7,84,30,9
I.Swiatek,M.Sakkari,french_open,2021,5,123,0,2,33/61 (54%),23/33 (70%),12/28 (43%),5/6 (83%),1/6 (17%),19/62 (31%),17,25,54,111 mph,98 mph,72 mph,38,14,2,84,30,9
E.Rybakina,A.Pavlyuchenkova,french_open,2021,5,234,5,6,66/127 (52%),44/66 (67%),31/61 (51%),12/18 (67%),3/7 (43%),38/107 (36%),46,43,113,118 mph,105 mph,84 mph,73,30,10,155,64,15
A.Pavlyuchenkova,E.Rybakina,french_open,2021,5,234,5,2,74/107 (69%),51/74 (69%),18/33 (55%),8/15 (53%),6/17 (35%),52/127 (41%),44,28,121,109 mph,96 mph,83 mph,82,34,5,155,64,15
T.Zidansek,P.Badosa,french_open,2021,5,225,1,3,81/121 (67%),49/81 (60%),16/40 (40%),8/9 (89%),8/13 (62%),49/104 (47%),48,39,114,105 mph,91 mph,77 mph,58,39,17,109,81,35
P.Badosa,T.Zidansek,french_open,2021,5,225,2,9,70/104 (67%),40/70 (57%),15/34 (44%),9/15 (60%),7/14 (50%),56/121 (46%),31,47,111,112 mph,93 mph,83 mph,51,42,18,109,81,35
O.Jabeur,C.Gauff,french_open,2021,4,91,4,4,26/50 (52%),19/26 (73%),8/24 (33%),4/9 (44%),0/0 (0%),9/41 (22%),18,21,36,108 mph,97 mph,70 mph,18,15,2,51,29,7
C.Gauff,O.Jabeur,french_open,2021,4,91,2,0,27/41 (66%),22/27 (81%),10/14 (71%),13/17 (76%),4/11 (36%),23/50 (46%),15,9,55,119 mph,99 mph,83 mph,33,14,5,51,29,7
S.Stephens,B.Krejcikova,french_open,2021,4,95,1,0,39/49 (80%),18/39 (46%),4/10 (40%),2/3 (67%),0/3 (0%),13/46 (28%),9,26,35,103 mph,91 mph,71 mph,12,17,5,38,41,15
B.Krejcikova,S.Stephens,french_open,2021,4,95,1,0,28/46 (61%),23/28 (82%),10/18 (56%),4/5 (80%),5/8 (63%),27/49 (55%),10,19,60,107 mph,96 mph,76 mph,26,24,10,38,41,15
S.Kenin,M.Sakkari,french_open,2021,4,108,0,9,28/58 (48%),16/28 (57%),9/30 (30%),6/10 (60%),2/3 (67%),20/50 (40%),14,32,45,94 mph,90 mph,86 mph,27,16,1,66,35,6
M.Sakkari,S.Kenin,french_open,2021,4,108,4,4,25/50 (50%),21/25 (84%),9/25 (36%),7/10 (70%),6/10 (60%),33/58 (57%),19,15,63,114 mph,98 mph,86 mph,39,19,5,66,35,6
M.Kostyuk,I.Swiatek,french_open,2021,4,140,2,4,44/72 (61%),25/44 (57%),12/28 (43%),11/18 (61%),2/7 (29%),26/68 (38%),20,27,63,111 mph,97 mph,83 mph,31,21,11,74,43,23
I.Swiatek,M.Kostyuk,french_open,2021,4,140,1,1,38/68 (56%),28/38 (74%),14/30 (47%),8/13 (62%),4/12 (33%),35/72 (49%),24,22,77,109 mph,98 mph,79 mph,43,22,12,74,43,23
S.Williams,E.Rybakina,french_open,2021,4,117,2,1,29/51 (57%),17/29 (59%),9/22 (41%),3/6 (50%),3/5 (60%),25/66 (38%),15,19,51,119 mph,105 mph,85 mph,30,17,4,74,35,8
E.Rybakina,S.Williams,french_open,2021,4,117,4,4,39/66 (59%),27/39 (69%),14/27 (52%),6/7 (86%),5/7 (71%),25/51 (49%),21,13,66,116 mph,106 mph,85 mph,44,18,4,74,35,8
V.Azarenka,A.Pavlyuchenkova,french_open,2021,4,180,3,5,52/84 (62%),30/52 (58%),10/32 (31%),13/21 (62%),6/12 (50%),44/96 (46%),31,30,84,106 mph,95 mph,81 mph,44,30,10,103,54,23
A.Pavlyuchenkova,V.Azarenka,french_open,2021,4,180,3,4,68/96 (71%),43/68 (63%),9/28 (32%),13/22 (59%),8/15 (53%),44/84 (52%),45,27,96,106 mph,94 mph,83 mph,59,24,13,103,54,23
T.Zidansek,S.Cirstea,french_open,2021,4,134,1,3,55/81 (68%),37/55 (67%),15/26 (58%),4/8 (50%),3/4 (75%),21/53 (40%),20,20,73,105 mph,95 mph,82 mph,42,22,9,78,40,16
S.Cirstea,T.Zidansek,french_open,2021,4,134,1,2,28/53 (53%),18/28 (64%),14/25 (56%),10/18 (56%),1/7 (14%),29/81 (36%),20,28,61,105 mph,100 mph,82 mph,36,18,7,78,40,16
M.Vondrousova,P.Badosa,french_open,2021,4,173,2,6,60/92 (65%),35/60 (58%),16/32 (50%),6/10 (60%),3/9 (33%),31/81 (38%),26,39,82,109 mph,95 mph,79 mph,46,23,13,88,50,35
P.Badosa,M.Vondrousova,french_open,2021,4,173,2,3,54/81 (67%),37/54 (69%),13/27 (48%),9/16 (56%),5/10 (50%),41/92 (45%),30,30,91,114 mph,99 mph,80 mph,42,27,22,88,50,35
M.Linette,O.Jabeur,french_open,2021,3,139,0,6,49/78 (63%),29/49 (59%),7/29 (24%),13/22 (59%),2/3 (67%),21/61 (34%),16,27,57,103 mph,96 mph,82 mph,33,16,7,88,38,12
O.Jabeur,M.Linette,french_open,2021,3,139,4,0,29/61 (48%),20/29 (69%),20/32 (63%),6/10 (60%),6/14 (43%),42/78 (54%),26,21,82,109 mph,96 mph,75 mph,55,22,5,88,38,12
C.Gauff,J.Brady,french_open,2021,3,35,2,1,12/19 (63%),12/12 (100%),4/7 (57%),3/3 (100%),2/3 (67%),9/16 (56%),7,1,25,118 mph,98 mph,70 mph,15,9,0,22,11,1
J.Brady,C.Gauff,french_open,2021,3,35,0,1,9/16 (56%),6/9 (67%),1/7 (14%),1/1 (100%),0/0 (0%),3/19 (16%),5,5,10,110 mph,106 mph,80 mph,7,2,1,22,11,1
S.Stephens,K.Muchova,french_open,2021,3,150,0,0,69/82 (84%),46/69 (67%),4/13 (31%),6/13 (46%),4/7 (57%),32/68 (47%),22,25,82,105 mph,86 mph,74 mph,28,28,26,59,43,48
K.Muchova,S.Stephens,french_open,2021,3,150,1,1,46/68 (68%),26/46 (57%),10/22 (45%),10/28 (36%),2/6 (33%),32/82 (39%),23,32,68,108 mph,96 mph,78 mph,31,15,22,59,43,48
B.Krejcikova,E.Svitolina,french_open,2021,3,143,2,1,53/77 (69%),36/53 (68%),6/24 (25%),14/18 (78%),6/13 (46%),36/66 (55%),38,28,78,108 mph,93 mph,83 mph,24,37,17,61,56,26
E.Svitolina,B.Krejcikova,french_open,2021,3,143,3,2,39/66 (59%),20/39 (51%),10/27 (37%),6/11 (55%),2/7 (29%),35/77 (45%),20,19,65,108 mph,99 mph,77 mph,37,19,9,61,56,26
S.Kenin,J.Pegula,french_open,2021,3,202,6,10,57/92 (62%),37/57 (65%),14/35 (40%),11/16 (69%),7/17 (41%),55/110 (50%),48,41,106,97 mph,90 mph,86 mph,67,31,7,130,58,13
J.Pegula,S.Kenin,french_open,2021,3,202,4,6,67/110 (61%),42/67 (63%),13/43 (30%),11/18 (61%),5/10 (50%),41/92 (45%),18,26,96,108 mph,95 mph,82 mph,63,27,6,130,58,13
