player,opponent,tournament,year,round,total_points_played,aces,double_faults,first_srv_pct_in,win_pct_first_srv,win_pct_second_srv,net_points_won,break_points_won,rec_pts_won,winners,unforced_errors,total_points_won,distance_per_pt,avg_1st_serve,avg_2nd_serve,avg_serve_overall,fastest_1st_serve,fastest_2nd_serve,return_winners,approach_winners,approach_forced_errors,approach_unforced_errors,drop_shot_winners,drop_shot forced_errors,drop_shot unforced_errors,ground_stroke_winners,ground_stroke_forced_errors,ground_stroke_unforced_errors,lob_winners,lob_forced_errors,lob_unforced_errors,overhead_winners,overhead_forced_errors,overhead_unforced_errors,passing_winners,passing_forced_errors,passing_unforced_errors,volley_winners,volley_forced_errors,volley_unforced_errors
A. BARTY,C. SUAREZ NAVARRO,wimbledon,2021,1,159,13,3,56/84 (67%),49/56 (88%),11/28 (39%),15/20 (75%),5/5 (100%),33/75 (44%),38,36,93,27.5 m90.2 ft,13,0,13,0,0,0,1,0,0,0,0,2,13,11,27,0,2,0,3,0,1,3,2,1,5,1,2
C. SUAREZ NAVARRO,A. BARTY,wimbledon,2021,1,159,0,0,48/75 (64%),23/48 (48%),19/27 (70%),7/11 (64%),1/4 (25%),24/84 (29%),12,20,66,27.5 m90.1 ft,0,0,0,0,0,3,0,0,0,0,0,0,11,15,18,0,0,0,0,0,0,0,3,1,1,0,1
A. BLINKOVA,T. BABOS,wimbledon,2021,1,104,1,8,31/58 (53%),24/31 (77%),15/27 (56%),8/10 (80%),4/7 (57%),24/46 (52%),21,19,63,17.4 m57.1 ft,1,0,1,1,0,3,2,0,1,2,0,1,10,1,6,1,0,0,1,0,0,1,0,2,2,0,1
T. BABOS,A. BLINKOVA,wimbledon,2021,1,104,2,4,21/46 (46%),16/21 (76%),6/25 (24%),9/13 (69%),0/5 (0%),19/58 (33%),10,21,41,18.7 m61.5 ft,2,0,2,0,0,1,0,0,0,0,0,1,5,4,16,0,0,0,0,1,0,0,0,0,3,0,0
O. GOVORTSOVA,C. VANDEWEGHE,wimbledon,2021,1,103,0,3,37/52 (71%),21/37 (57%),6/15 (40%),2/4 (50%),1/1 (100%),17/51 (33%),10,14,44,23.1 m75.9 ft,0,0,0,0,0,1,0,0,1,1,0,0,7,8,10,1,0,0,0,0,0,0,0,0,1,0,0
C. VANDEWEGHE,O. GOVORTSOVA,wimbledon,2021,1,103,5,4,26/51 (51%),20/26 (77%),14/25 (56%),9/11 (82%),4/4 (100%),25/52 (48%),26,16,59,22.2 m73.0 ft,5,0,5,0,0,3,2,0,0,0,0,0,13,6,11,0,0,0,1,0,1,1,1,0,4,1,0
K. SINIAKOVA,Y. WANG,wimbledon,2021,1,87,4,5,24/50 (48%),19/24 (79%),14/26 (54%),8/13 (62%),5/7 (71%),24/37 (65%),24,17,57,23.8 m78.0 ft,4,0,4,1,0,0,2,0,0,1,0,0,13,3,12,0,0,0,1,0,0,0,1,0,2,1,0
Y. WANG,K. SINIAKOVA,wimbledon,2021,1,87,0,4,17/37 (46%),7/17 (41%),6/20 (30%),3/7 (43%),0/1 (0%),17/50 (34%),6,20,30,27.0 m88.7 ft,0,0,0,0,0,0,0,1,1,0,1,1,2,8,12,0,0,1,1,0,0,3,0,1,0,0,0
K. BERTENS,M. KOSTYUK,wimbledon,2021,1,146,0,5,49/72 (68%),28/49 (57%),14/23 (61%),15/26 (58%),0/6 (0%),24/74 (32%),19,38,66,23.4 m76.8 ft,0,0,0,1,1,0,2,0,3,2,0,3,6,2,23,0,0,0,1,0,1,2,8,1,4,1,2
M. KOSTYUK,K. BERTENS,wimbledon,2021,1,146,4,5,45/74 (61%),36/45 (80%),14/29 (48%),19/26 (73%),2/6 (33%),30/72 (42%),18,18,80,24.3 m79.8 ft,4,0,4,1,0,0,3,0,0,2,0,0,2,7,12,0,0,0,1,0,0,3,6,1,2,3,0
